# Depth(km) Radius(km) vp(km/s) vs(km/s) rho(g/cm3) Qm       Qk             P(GPa)
0.0 6371.0 1.45 0.00 1.02 0.0 57823.0 0.0
3.0 6368.0 1.45 0.00 1.02 0.0 57823.0 0.0
3.0 6368.0 5.80 3.20 2.60 600.0 57823.0 0.0
15.0 6356.0 5.80 3.20 2.60 600.0 57823.0 0.3
15.0 6356.0 6.80 3.90 2.90 600.0 57823.0 0.3
24.4 6346.6 6.80 3.90 2.90 600.0 57823.0 0.6
24.4 6346.6 8.11 4.49 3.38 600.0 57823.0 0.6
71.0 6300.0 8.08 4.47 3.38 600.0 57823.0 2.2
80.0 6291.9 8.08 4.47 3.37 600.0 57823.0 2.5
80.0 6291.0 8.08 4.47 3.37 80.0 57823.0 2.5
171.0 6200.0 8.02 4.44 3.36 80.0 57823.0 5.5
220.0 6151.0 7.99 4.42 3.36 80.0 57823.0 7.1
220.0 6151.0 8.56 4.62 3.44 143.0 57823.0 7.1
271.0 6100.0 8.66 4.68 3.47 143.0 57823.0 8.9
371.0 6000.0 8.85 4.75 3.53 143.0 57823.0 12.3
400.0 5971.0 8.91 4.77 3.54 143.0 57823.0 13.4
400.0 5971.0 9.13 4.93 3.72 143.0 57823.0 13.4
471.0 5900.0 9.50 5.14 3.81 143.0 57823.0 16.0
571.0 5800.0 10.01 5.43 3.94 143.0 57823.0 19.9
600.0 5771.0 10.16 5.52 3.98 143.0 57823.0 21.0
600.0 5771.0 10.16 5.52 3.98 143.0 57823.0 21.0
670.0 5701.0 10.27 5.57 3.99 143.0 57823.0 23.8
670.0 5701.0 10.75 5.95 4.38 312.0 57823.0 23.8
771.0 5600.0 11.07 6.24 4.44 312.0 57823.0 28.3
871.0 5500.0 11.24 6.31 4.50 312.0 57823.0 32.8
971.0 5400.0 11.42 6.38 4.56 312.0 57823.0 37.3
1071.0 5300.0 11.58 6.44 4.62 312.0 57823.0 41.9
1171.0 5200.0 11.78 6.50 4.68 312.0 57823.0 46.5
1271.0 5100.0 11.88 6.56 4.73 312.0 57823.0 51.2
1371.0 5000.0 12.02 6.62 4.79 312.0 57823.0 55.9
1471.0 4900.0 12.16 6.67 4.84 312.0 57823.0 60.7
1571.0 4800.0 12.29 6.73 4.90 312.0 57823.0 65.5
1671.0 4700.0 12.42 6.78 4.95 312.0 57823.0 70.4
1771.0 4600.0 12.54 6.83 5.00 312.0 57823.0 75.4
1871.0 4500.0 12.67 6.87 5.05 312.0 57823.0 80.4
1971.0 4400.0 12.78 6.92 5.11 312.0 57823.0 85.5
2071.0 4300.0 12.90 6.97 5.16 312.0 57823.0 90.6
2171.0 4200.0 13.02 7.01 5.21 312.0 57823.0 95.8
2271.0 4100.0 13.13 7.06 5.26 312.0 57823.0 101.1
2371.0 4000.0 13.25 7.10 5.31 312.0 57823.0 106.4
2471.0 3900.0 13.36 7.14 5.36 312.0 57823.0 111.9
2571.0 3800.0 13.48 7.19 5.41 312.0 57823.0 117.4
2671.0 3700.0 13.60 7.23 5.46 312.0 57823.0 123.0
2741.0 3630.0 13.68 7.27 5.49 312.0 57823.0 127.0
2771.0 3600.0 13.69 7.27 5.51 312.0 57823.0 128.8
2871.0 3500.0 13.71 7.26 5.56 312.0 57823.0 134.6
2891.0 3480.0 13.72 7.26 5.57 312.0 57823.0 135.8
2891.0 3480.0 8.06 0.00 9.90 0.0 57823.0 135.8
2971.0 3400.0 8.20 0.00 10.03 0.0 57823.0 144.2
3071.0 3300.0 8.36 0.00 10.18 0.0 57823.0 154.8
